method,matched_epochs,rms_e_m,rms_n_m,rms_u_m,rms_3d_m,median_3d_m,p95_3d_m,max_3d_m,availability_lt_0_3m_pct,availability_lt_1m_pct,q1_fixed,q2_float,q4_dgps,run_elapsed_s,run_rollbacks,run_lidar_rejects
RTK,120,4.150735970907722,3.4190357836121055,15.70244727559933,16.59774880014709,15.4183332375562,29.539927829859515,31.508549382091022,0.0,3.3333333333333335,0,78,42,,,
RTK/INS,118,4.615484032165002,3.590852177856746,11.335903156136677,12.755375830593863,7.809642788063085,27.894386507708404,39.298322855511614,0.0,0.847457627118644,3,0,65,11,0,
LIO,1186,589.536028372477,168.6671252980767,64.21526949551883,616.542722560159,1.5133466095639128,1661.2491966617488,2092.471460215647,10.370994940978077,12.900505902192243,0,0,0,332,0,101
FM-LiDAR TC,119,4.955564853157052,2.5411307256229914,4.273936758951751,7.02007861765591,4.624807134391293,14.610769312399897,16.90668745753709,11.76470588235294,21.008403361344538,0,0,119,216,0,0
FF-LiDAR TC,119,730.8391425506405,236.1815049677597,106.1179980391025,775.3506207393004,44.78237559572643,1949.3330946838219,2426.9199736389323,7.563025210084033,10.92436974789916,0,0,119,342,0,70
GG-LiDAR TC,119,2.9108326289930506,1.3373673708709604,1.095815041921285,3.385603149334229,2.0358153036742226,6.791137538345694,7.770668300177517,11.76470588235294,21.008403361344538,0,0,119,327,0,0
GG pose-level,98,290.3423494372189,490.55019981913665,81.50790195351185,575.8313264317792,180.3461613862524,1340.4747180772522,1624.6268089435896,9.183673469387756,11.224489795918368,0,0,98,330,215,101
